GEO_ID,NAME,totalSurveyPop,less_than_10k,10k_to_14.99k,15k_to_19.99k,20k_to_24.99k,25k_to_29.99k,30k_to_34.99k,35k_to_39.99k,40k_to_44.99k,45k_to_49.99k,50k_to_59.99k,60k_to_74.99k,75k_99.99k,100k_to_124.99k,125k_to_149.99k,150k_to_199.99k,200k_or_more
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",626,21,26,0,0,0,0,17,18,16,89,49,86,54,24,76,150
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",498,0,0,0,16,29,12,0,18,0,12,22,126,67,65,56,75
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",870,65,13,49,18,45,12,47,37,12,50,87,76,65,145,80,69
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",626,21,26,0,0,0,0,17,18,16,89,49,86,54,24,76,150
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",498,0,0,0,16,29,12,0,18,0,12,22,126,67,65,56,75
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",870,65,13,49,18,45,12,47,37,12,50,87,76,65,145,80,69
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",684,70,0,19,0,10,9,30,7,31,35,43,105,72,77,63,113
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",506,25,0,7,9,0,37,16,0,36,16,39,27,20,28,79,167
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",521,0,9,26,6,0,16,18,6,0,19,40,59,60,44,89,129
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",684,70,0,19,0,10,9,30,7,31,35,43,105,72,77,63,113
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",506,25,0,7,9,0,37,16,0,36,16,39,27,20,28,79,167
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",521,0,9,26,6,0,16,18,6,0,19,40,59,60,44,89,129
1500000US530330052001,"Block Group 1, Census Tract 52, King County, Washington",452,154,0,0,46,15,58,16,15,0,32,92,0,0,11,0,13
1500000US530330052002,"Block Group 2, Census Tract 52, King County, Washington",796,346,26,0,72,0,20,62,48,16,50,23,36,19,30,0,48
1500000US530330052003,"Block Group 3, Census Tract 52, King County, Washington",442,21,18,19,12,0,0,15,56,20,23,108,17,37,11,0,85
1500000US530330052004,"Block Group 4, Census Tract 52, King County, Washington",570,54,8,0,0,16,43,0,0,15,64,42,85,47,13,88,95
1500000US530330052005,"Block Group 5, Census Tract 52, King County, Washington",815,270,65,31,31,54,35,0,17,30,60,43,19,75,38,34,13
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",773,103,52,19,27,17,31,23,7,47,51,57,65,120,8,123,23
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1025,177,75,79,103,83,68,36,9,9,55,61,59,69,20,62,60
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",773,103,52,19,27,17,31,23,7,47,51,57,65,120,8,123,23
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1025,177,75,79,103,83,68,36,9,9,55,61,59,69,20,62,60
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",451,99,28,48,38,9,14,10,46,18,21,10,0,31,19,51,9
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",1118,193,53,63,68,90,85,60,84,24,78,69,59,56,29,49,58
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",451,99,28,48,38,9,14,10,46,18,21,10,0,31,19,51,9
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",1118,193,53,63,68,90,85,60,84,24,78,69,59,56,29,49,58
