GEO_ID,NAME,totalSurveyPop,less_than_10k,10k_to_14.99k,15k_to_19.99k,20k_to_24.99k,25k_to_29.99k,30k_to_34.99k,35k_to_39.99k,40k_to_44.99k,45k_to_49.99k,50k_to_59.99k,60k_to_74.99k,75k_99.99k,100k_to_124.99k,125k_to_149.99k,150k_to_199.99k,200k_or_more
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",739,9,24,0,0,33,0,50,11,82,21,103,93,60,24,81,148
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",450,0,0,0,44,8,0,0,18,0,31,43,82,85,83,21,35
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",872,69,24,50,30,42,26,69,39,12,11,92,84,144,111,41,28
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",739,9,24,0,0,33,0,50,11,82,21,103,93,60,24,81,148
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",450,0,0,0,44,8,0,0,18,0,31,43,82,85,83,21,35
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",872,69,24,50,30,42,26,69,39,12,11,92,84,144,111,41,28
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",677,68,0,14,0,0,12,22,19,26,31,54,108,76,91,61,95
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",481,27,0,0,8,9,42,8,11,15,22,47,21,47,25,74,125
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",497,0,10,27,8,7,17,15,6,14,12,37,66,56,49,80,93
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",677,68,0,14,0,0,12,22,19,26,31,54,108,76,91,61,95
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",481,27,0,0,8,9,42,8,11,15,22,47,21,47,25,74,125
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",497,0,10,27,8,7,17,15,6,14,12,37,66,56,49,80,93
1500000US530330052001,"Block Group 1, Census Tract 52, King County, Washington",385,176,0,16,0,0,62,0,19,0,99,0,0,0,13,0,0
1500000US530330052002,"Block Group 2, Census Tract 52, King County, Washington",827,344,15,35,45,0,0,66,145,17,31,20,31,20,32,0,26
1500000US530330052003,"Block Group 3, Census Tract 52, King County, Washington",476,19,15,21,16,17,0,17,32,45,0,85,35,50,39,8,77
1500000US530330052004,"Block Group 4, Census Tract 52, King County, Washington",579,59,37,0,0,18,19,0,0,17,41,34,70,50,11,88,135
1500000US530330052005,"Block Group 5, Census Tract 52, King County, Washington",692,239,30,18,34,79,16,0,0,39,16,42,20,96,32,18,13
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",764,66,27,10,42,30,30,21,11,75,22,69,45,133,60,105,18
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1069,211,80,70,112,50,67,32,7,7,68,43,106,29,44,87,56
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",764,66,27,10,42,30,30,21,11,75,22,69,45,133,60,105,18
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1069,211,80,70,112,50,67,32,7,7,68,43,106,29,44,87,56
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",488,81,36,61,45,54,9,32,44,13,19,9,0,47,19,0,19
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",1039,153,73,58,75,99,95,29,118,45,43,75,36,46,15,44,35
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",488,81,36,61,45,54,9,32,44,13,19,9,0,47,19,0,19
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",1039,153,73,58,75,99,95,29,118,45,43,75,36,46,15,44,35
