GEO_ID,NAME,totalSurveyPop,less_than_10k,10k_to_14.99k,15k_to_19.99k,20k_to_24.99k,25k_to_29.99k,30k_to_34.99k,35k_to_39.99k,40k_to_44.99k,45k_to_49.99k,50k_to_59.99k,60k_to_74.99k,75k_99.99k,100k_to_124.99k,125k_to_149.99k,150k_to_199.99k,200k_or_more
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",658,31,17,15,14,32,23,23,49,7,32,100,59,41,55,91,69
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",394,0,0,14,23,17,13,9,22,0,26,39,48,30,38,24,91
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",811,14,18,97,106,58,41,36,54,15,63,77,82,82,38,9,21
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",658,31,17,15,14,32,23,23,49,7,32,100,59,41,55,91,69
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",394,0,0,14,23,17,13,9,22,0,26,39,48,30,38,24,91
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",811,14,18,97,106,58,41,36,54,15,63,77,82,82,38,9,21
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",666,24,12,14,0,20,23,8,44,15,64,110,101,64,40,35,92
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",547,0,0,0,8,29,6,17,23,18,20,27,38,62,75,118,106
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",395,16,17,0,13,9,21,20,0,10,7,31,77,33,8,67,66
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",666,24,12,14,0,20,23,8,44,15,64,110,101,64,40,35,92
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",547,0,0,0,8,29,6,17,23,18,20,27,38,62,75,118,106
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",395,16,17,0,13,9,21,20,0,10,7,31,77,33,8,67,66
1500000US530330052001,"Block Group 1, Census Tract 52, King County, Washington",472,178,34,20,61,15,19,0,80,15,0,31,19,0,0,0,0
1500000US530330052002,"Block Group 2, Census Tract 52, King County, Washington",678,287,13,42,28,21,17,16,100,0,0,19,85,36,14,0,0
1500000US530330052003,"Block Group 3, Census Tract 52, King County, Washington",562,73,20,34,51,12,16,37,96,31,18,29,18,37,37,35,18
1500000US530330052004,"Block Group 4, Census Tract 52, King County, Washington",539,0,16,0,13,0,20,20,0,29,55,13,79,44,75,46,129
1500000US530330052005,"Block Group 5, Census Tract 52, King County, Washington",627,219,0,36,31,30,16,0,0,59,0,67,19,135,15,0,0
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",680,130,17,21,27,17,26,9,33,47,51,36,88,46,91,41,0
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1052,203,94,51,71,56,60,49,15,7,102,55,168,28,44,49,0
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",680,130,17,21,27,17,26,9,33,47,51,36,88,46,91,41,0
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1052,203,94,51,71,56,60,49,15,7,102,55,168,28,44,49,0
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",543,77,67,60,52,54,53,9,17,8,41,7,32,35,22,9,0
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",777,170,50,82,68,59,59,52,33,8,34,48,39,31,15,29,0
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",543,77,67,60,52,54,53,9,17,8,41,7,32,35,22,9,0
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",777,170,50,82,68,59,59,52,33,8,34,48,39,31,15,29,0
