"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_001MA","B02001_001EA","B02001_002E","B02001_002M","B02001_002MA","B02001_002EA","B02001_003E","B02001_003M","B02001_003MA","B02001_003EA","B02001_004E","B02001_004M","B02001_004MA","B02001_004EA","B02001_005E","B02001_005M","B02001_005MA","B02001_005EA","B02001_006E","B02001_006M","B02001_006MA","B02001_006EA","B02001_007E","B02001_007EA","B02001_007M","B02001_007MA","B02001_008E","B02001_008M","B02001_008MA","B02001_008EA","B02001_009E","B02001_009M","B02001_009MA","B02001_009EA","B02001_010E","B02001_010M","B02001_010MA","B02001_010EA",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Annotation of Margin of Error!!Total:","Annotation of Estimate!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Annotation of Margin of Error!!Total:!!White alone","Annotation of Estimate!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Annotation of Margin of Error!!Total:!!Black or African American alone","Annotation of Estimate!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Margin of Error!!Total:!!American Indian and Alaska Native alone","Annotation of Estimate!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Annotation of Margin of Error!!Total:!!Asian alone","Annotation of Estimate!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Annotation of Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some other race alone","Annotation of Estimate!!Total:!!Some other race alone","Margin of Error!!Total:!!Some other race alone","Annotation of Margin of Error!!Total:!!Some other race alone","Estimate!!Total:!!Two or more races:","Margin of Error!!Total:!!Two or more races:","Annotation of Margin of Error!!Total:!!Two or more races:","Annotation of Estimate!!Total:!!Two or more races:","Estimate!!Total:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races including Some other race","Annotation of Estimate!!Total:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Margin of Error!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races","Annotation of Estimate!!Total:!!Two or more races:!!Two races excluding Some other race, and three or more races",
"1500000US530330004023","Block Group 3, Census Tract 4.02, King County, Washington","1419","356","null","null","1312","366","null","null","0","13","null","null","0","13","null","null","33","39","null","null","0","13","null","null","13","null","30","null","61","51","null","null","0","13","null","null","61","51","null","null",
"1500000US530330004024","Block Group 4, Census Tract 4.02, King County, Washington","1352","385","null","null","1343","390","null","null","0","13","null","null","0","13","null","null","8","22","null","null","0","13","null","null","0","null","13","null","1","3","null","null","0","13","null","null","1","3","null","null",
"1500000US530330004031","Block Group 1, Census Tract 4.03, King County, Washington","1730","415","null","null","1253","385","null","null","17","40","null","null","0","13","null","null","213","109","null","null","0","13","null","null","19","null","31","null","228","135","null","null","0","13","null","null","228","135","null","null",
"1500000US530330004032","Block Group 2, Census Tract 4.03, King County, Washington","1617","391","null","null","1099","260","null","null","246","328","null","null","0","13","null","null","192","129","null","null","0","13","null","null","0","null","13","null","80","72","null","null","0","13","null","null","80","72","null","null",
"1500000US530330004041","Block Group 1, Census Tract 4.04, King County, Washington","1265","288","null","null","385","123","null","null","492","325","null","null","0","13","null","null","290","180","null","null","0","13","null","null","30","null","45","null","68","81","null","null","0","13","null","null","68","81","null","null",
"1500000US530330004042","Block Group 2, Census Tract 4.04, King County, Washington","1320","504","null","null","707","315","null","null","517","459","null","null","0","13","null","null","81","99","null","null","0","13","null","null","0","null","13","null","15","25","null","null","8","14","null","null","7","12","null","null",
"1500000US530330004043","Block Group 3, Census Tract 4.04, King County, Washington","1154","380","null","null","486","197","null","null","429","257","null","null","0","13","null","null","55","84","null","null","0","13","null","null","62","null","96","null","122","153","null","null","0","13","null","null","122","153","null","null",
"1500000US530330005001","Block Group 1, Census Tract 5, King County, Washington","2019","341","null","null","1624","208","null","null","12","19","null","null","0","13","null","null","154","88","null","null","0","13","null","null","42","null","66","null","187","162","null","null","43","66","null","null","144","148","null","null",
"1500000US530330005002","Block Group 2, Census Tract 5, King County, Washington","1124","193","null","null","968","197","null","null","0","13","null","null","0","13","null","null","87","104","null","null","0","13","null","null","0","null","13","null","69","53","null","null","0","13","null","null","69","53","null","null",
"1500000US530330006011","Block Group 1, Census Tract 6.01, King County, Washington","1740","802","null","null","783","367","null","null","566","547","null","null","0","13","null","null","263","310","null","null","0","13","null","null","0","null","13","null","128","121","null","null","94","132","null","null","34","43","null","null",
"1500000US530330006012","Block Group 2, Census Tract 6.01, King County, Washington","1368","357","null","null","876","388","null","null","18","28","null","null","25","53","null","null","296","179","null","null","8","13","null","null","0","null","13","null","145","134","null","null","0","13","null","null","145","134","null","null",
