GEO_ID,NAME,totalSurveyPop,less_than_10k,10k_to_14.99k,15k_to_19.99k,20k_to_24.99k,25k_to_29.99k,30k_to_34.99k,35k_to_39.99k,40k_to_44.99k,45k_to_49.99k,50k_to_59.99k,60k_to_74.99k,75k_99.99k,100k_to_124.99k,125k_to_149.99k,150k_to_199.99k,200k_or_more
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",679,30,11,18,16,37,10,25,56,9,58,101,64,51,46,79,68
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",440,0,0,0,55,17,0,10,40,0,26,36,75,48,39,30,64
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",771,16,21,53,72,57,46,56,9,0,69,89,85,101,79,8,10
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",679,30,11,18,16,37,10,25,56,9,58,101,64,51,46,79,68
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",440,0,0,0,55,17,0,10,40,0,26,36,75,48,39,30,64
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",771,16,21,53,72,57,46,56,9,0,69,89,85,101,79,8,10
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",665,25,12,23,0,19,22,24,29,16,29,133,91,53,70,44,75
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",511,10,0,0,8,29,14,13,14,18,21,31,24,55,78,103,93
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",464,5,19,0,10,9,20,12,0,9,8,33,101,49,27,69,93
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",665,25,12,23,0,19,22,24,29,16,29,133,91,53,70,44,75
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",511,10,0,0,8,29,14,13,14,18,21,31,24,55,78,103,93
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",464,5,19,0,10,9,20,12,0,9,8,33,101,49,27,69,93
1500000US530330052001,"Block Group 1, Census Tract 52, King County, Washington",399,196,17,16,56,0,37,0,19,14,0,27,17,0,0,0,0
1500000US530330052002,"Block Group 2, Census Tract 52, King County, Washington",764,375,17,47,0,20,16,0,101,0,15,16,79,51,13,0,14
1500000US530330052003,"Block Group 3, Census Tract 52, King County, Washington",548,64,19,30,40,13,0,35,56,31,19,0,35,53,44,27,82
1500000US530330052004,"Block Group 4, Census Tract 52, King County, Washington",541,32,17,0,12,16,0,16,0,29,54,12,50,54,59,75,115
1500000US530330052005,"Block Group 5, Census Tract 52, King County, Washington",613,260,15,19,15,44,0,0,13,62,0,55,18,86,26,0,0
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",691,116,26,0,45,14,13,8,45,19,52,60,78,44,99,54,18
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1051,223,83,57,94,37,56,36,24,15,99,48,125,35,42,67,10
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",691,116,26,0,45,14,13,8,45,19,52,60,78,44,99,54,18
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",1051,223,83,57,94,37,56,36,24,15,99,48,125,35,42,67,10
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",489,96,45,25,43,60,72,0,23,0,7,8,79,10,7,8,6
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",932,164,65,88,64,83,90,76,33,8,58,37,38,37,47,44,0
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",489,96,45,25,43,60,72,0,23,0,7,8,79,10,7,8,6
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",932,164,65,88,64,83,90,76,33,8,58,37,38,37,47,44,0
