GEO_ID,NAME,totalSurveyPop,less_than_10k,10k_to_14.99k,15k_to_19.99k,20k_to_24.99k,25k_to_29.99k,30k_to_34.99k,35k_to_39.99k,40k_to_44.99k,45k_to_49.99k,50k_to_59.99k,60k_to_74.99k,75k_99.99k,100k_to_124.99k,125k_to_149.99k,150k_to_199.99k,200k_or_more
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",674,40,0,14,21,22,32,9,45,17,38,77,102,78,33,103,43
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",418,0,0,13,15,8,13,8,18,0,87,6,51,27,50,65,57
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",741,0,26,67,84,54,47,23,48,48,86,58,58,83,22,18,19
1500000US530330050001,"Block Group 1, Census Tract 50, King County, Washington",674,40,0,14,21,22,32,9,45,17,38,77,102,78,33,103,43
1500000US530330050002,"Block Group 2, Census Tract 50, King County, Washington",418,0,0,13,15,8,13,8,18,0,87,6,51,27,50,65,57
1500000US530330050003,"Block Group 3, Census Tract 50, King County, Washington",741,0,26,67,84,54,47,23,48,48,86,58,58,83,22,18,19
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",692,40,15,16,0,56,23,8,46,15,45,115,98,58,25,49,83
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",528,0,0,0,17,0,12,21,25,9,23,20,25,63,109,95,109
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",378,15,15,0,0,9,14,17,0,32,0,21,45,32,16,60,102
1500000US530330051001,"Block Group 1, Census Tract 51, King County, Washington",692,40,15,16,0,56,23,8,46,15,45,115,98,58,25,49,83
1500000US530330051002,"Block Group 2, Census Tract 51, King County, Washington",528,0,0,0,17,0,12,21,25,9,23,20,25,63,109,95,109
1500000US530330051003,"Block Group 3, Census Tract 51, King County, Washington",378,15,15,0,0,9,14,17,0,32,0,21,45,32,16,60,102
1500000US530330052001,"Block Group 1, Census Tract 52, King County, Washington",511,126,63,38,62,29,17,0,123,0,0,34,19,0,0,0,0
1500000US530330052002,"Block Group 2, Census Tract 52, King County, Washington",619,219,30,0,44,19,17,32,112,0,15,25,88,18,0,0,0
1500000US530330052003,"Block Group 3, Census Tract 52, King County, Washington",555,71,0,13,38,14,28,33,76,34,30,21,53,28,23,42,51
1500000US530330052004,"Block Group 4, Census Tract 52, King County, Washington",532,0,22,0,14,0,18,37,0,10,60,40,82,35,29,24,161
1500000US530330052005,"Block Group 5, Census Tract 52, King County, Washington",687,309,0,59,14,33,15,0,0,47,0,90,38,67,15,0,0
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",662,101,23,31,31,22,8,22,50,56,85,68,59,54,35,17,0
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",991,212,83,72,10,37,36,58,26,21,120,61,153,61,19,22,0
1500000US530330090001,"Block Group 1, Census Tract 90, King County, Washington",662,101,23,31,31,22,8,22,50,56,85,68,59,54,35,17,0
1500000US530330090002,"Block Group 2, Census Tract 90, King County, Washington",991,212,83,72,10,37,36,58,26,21,120,61,153,61,19,22,0
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",526,138,93,6,35,33,18,8,23,39,18,15,31,38,21,10,0
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",774,213,87,64,62,33,46,33,39,9,34,50,28,22,25,17,12
1500000US530330091001,"Block Group 1, Census Tract 91, King County, Washington",526,138,93,6,35,33,18,8,23,39,18,15,31,38,21,10,0
1500000US530330091002,"Block Group 2, Census Tract 91, King County, Washington",774,213,87,64,62,33,46,33,39,9,34,50,28,22,25,17,12
